RideID,CustomerID,DriverID,Distance,Fare
1,3,24,12.0,204000
2,1,1,1.0,362472
3,2,2,2.0,263100
4,1,1,1.0,362472
5,1,24,12.0,144000
6,1,1,1.0,362472
7,3,3,52.023,624276.0
8,2,2,39.925,479099.0
9,1,1,39.206,470472.0
10,1,1,42.206,506472.0
11,2,2,39.925,479099.0
12,1,1,39.206,470472.0
13,1,1,5.0,50.0
14,2,2,5.0,50.0
15,3,3,7.5,75.0
16,1,4,3.2,32.0
17,4,5,8.1,81.0
18,5,6,6.3,63.0
19,2,7,4.7,47.0
20,3,12,9.2,92.0
21,4,13,5.5,55.0
22,5,14,7.8,78.0
23,1,25,6.0,60.0
24,2,26,3.9,39.0
25,3,22,8.5,85.0
26,4,25,4.2,42.0
27,5,27,7.1,71.0
28,1,1,13.0,130.0
29,1,24,13.0,130.0
30,1,1,13.0,130.0
31,1,24,13.0,130.0
32,1,24,13.0,130.0
